Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
18,Lab2_Timing_1,AY_cellRise,20.53e-12,,,
18,Lab2_Timing_1,AY_fallTransistion,70.29e-12,,,
18,Lab2_Timing_1,AY_riseTransistion,29.66e-12,,,
18,Lab2_Timing_1,BfallTime,0,,,
18,Lab2_Timing_1,BriseTime,0,,,
18,Lab2_Timing_1,BY_cellFall,47.44e-12,,,
18,Lab2_Timing_1,BY_cellRise,21.64e-12,,,
18,Lab2_Timing_1,BY_fallTransistion,70.29e-12,,,
18,Lab2_Timing_1,BY_riseTransistion,29.66e-12,,,
"Parameters: Cout=1.189f, transition=100p",,,,,,
19,Lab2_Timing_1,/A,,,,
19,Lab2_Timing_1,/B,,,,
19,Lab2_Timing_1,/Y,,,,
19,Lab2_Timing_1,AfallTime,0,,,
19,Lab2_Timing_1,AriseTime,0,,,
19,Lab2_Timing_1,AY_cellFall,44.93e-12,,,
19,Lab2_Timing_1,AY_cellRise,21.37e-12,,,
19,Lab2_Timing_1,AY_fallTransistion,69.55e-12,,,
19,Lab2_Timing_1,AY_riseTransistion,29.61e-12,,,
19,Lab2_Timing_1,BfallTime,0,,,
19,Lab2_Timing_1,BriseTime,0,,,
19,Lab2_Timing_1,BY_cellFall,48.19e-12,,,
19,Lab2_Timing_1,BY_cellRise,22.58e-12,,,
19,Lab2_Timing_1,BY_fallTransistion,69.55e-12,,,
19,Lab2_Timing_1,BY_riseTransistion,29.61e-12,,,
"Parameters: Cout=1.189f, transition=120p",,,,,,
20,Lab2_Timing_1,/A,,,,
20,Lab2_Timing_1,/B,,,,
20,Lab2_Timing_1,/Y,,,,
20,Lab2_Timing_1,AfallTime,0,,,
20,Lab2_Timing_1,AriseTime,0,,,
20,Lab2_Timing_1,AY_cellFall,45.76e-12,,,
20,Lab2_Timing_1,AY_cellRise,22.37e-12,,,
20,Lab2_Timing_1,AY_fallTransistion,70.17e-12,,,
20,Lab2_Timing_1,AY_riseTransistion,30.2e-12,,,
20,Lab2_Timing_1,BfallTime,0,,,
20,Lab2_Timing_1,BriseTime,0,,,
20,Lab2_Timing_1,BY_cellFall,48.81e-12,,,
20,Lab2_Timing_1,BY_cellRise,23.43e-12,,,
20,Lab2_Timing_1,BY_fallTransistion,70.17e-12,,,
20,Lab2_Timing_1,BY_riseTransistion,30.2e-12,,,
"Parameters: Cout=1.189f, transition=140p",,,,,,
21,Lab2_Timing_1,/A,,,,
21,Lab2_Timing_1,/B,,,,
21,Lab2_Timing_1,/Y,,,,
21,Lab2_Timing_1,AfallTime,0,,,
21,Lab2_Timing_1,AriseTime,0,,,
21,Lab2_Timing_1,AY_cellFall,46.33e-12,,,
21,Lab2_Timing_1,AY_cellRise,23.08e-12,,,
21,Lab2_Timing_1,AY_fallTransistion,70e-12,,,
21,Lab2_Timing_1,AY_riseTransistion,30.42e-12,,,
21,Lab2_Timing_1,BfallTime,0,,,
21,Lab2_Timing_1,BriseTime,0,,,
21,Lab2_Timing_1,BY_cellFall,49.46e-12,,,
21,Lab2_Timing_1,BY_cellRise,24.26e-12,,,
21,Lab2_Timing_1,BY_fallTransistion,70e-12,,,
21,Lab2_Timing_1,BY_riseTransistion,30.42e-12,,,
"Parameters: Cout=1.733f, transition=20p",,,,,,
22,Lab2_Timing_1,/A,,,,
22,Lab2_Timing_1,/B,,,,
22,Lab2_Timing_1,/Y,,,,
22,Lab2_Timing_1,AfallTime,0,,,
22,Lab2_Timing_1,AriseTime,0,,,
22,Lab2_Timing_1,AY_cellFall,55.08e-12,,,
22,Lab2_Timing_1,AY_cellRise,22.47e-12,,,
22,Lab2_Timing_1,AY_fallTransistion,94.25e-12,,,
22,Lab2_Timing_1,AY_riseTransistion,38.25e-12,,,
22,Lab2_Timing_1,BfallTime,0,,,
22,Lab2_Timing_1,BriseTime,0,,,
22,Lab2_Timing_1,BY_cellFall,57.96e-12,,,
22,Lab2_Timing_1,BY_cellRise,23.71e-12,,,
22,Lab2_Timing_1,BY_fallTransistion,94.25e-12,,,
22,Lab2_Timing_1,BY_riseTransistion,38.25e-12,,,
"Parameters: Cout=1.733f, transition=40p",,,,,,
23,Lab2_Timing_1,/A,,,,
23,Lab2_Timing_1,/B,,,,
23,Lab2_Timing_1,/Y,,,,
23,Lab2_Timing_1,AfallTime,0,,,
